data_id,data_name,definition,data_tier,classification_level,data_category,environment,description,examples,propagation_rules,confidentiality_impact,integrity_impact,availability_impact,mapped_control_ids
CRT-D-0016,Trade Order Data,Order-level financial information with operational and regulatory impact,Restricted,Restricted,Trade Order Data,Trading Systems,Order-level financial information with operational and regulatory impact,"FIX messages, trade instructions",Vendor _ DMZ _ OMS _ Archive,high,high,medium,CRT-C-0002; CRT-C-0003; CRT-C-0039; CRT-C-0008; CRT-C-0049; CRT-C-0006
CRT-D-0017,Customer Authentication Data,Sensitive identity verification information,Restricted,Restricted,Customer Authentication Data,Identity,Sensitive identity verification information,"KYC documents, biometrics",Identity _ Verification _ Archive,high,high,medium,CRT-C-0002; CRT-C-0003; CRT-C-0007; CRT-C-0012; CRT-C-0008; CRT-C-0039; CRT-C-0049; CRT-C-0006
CRT-D-0018,Legal & Governance Records,Regulated records requiring strict access,Restricted,Restricted,Legal & Governance Records,Governance Systems,Regulated records requiring strict access,"Contracts, audit files",DMS _ Legal _ Archive,high,high,medium,CRT-C-0002; CRT-C-0003; CRT-C-0039; CRT-C-0008; CRT-C-0049; CRT-C-0006
CRT-D-0019,Risk Models,Risk calculations with significant operational dependency,Restricted,Restricted,Risk Models,Risk Engines,Risk calculations with significant operational dependency,"VaR inputs, risk scores",Risk Engine _ Analytics _ Archive,high,high,medium,CRT-C-0002; CRT-C-0003; CRT-C-0005; CRT-C-0038; CRT-C-0049; CRT-C-0065; CRT-C-0006
CRT-D-0020,Private Keys (Root),Root signing or trust-anchor keys,Critical,Critical,Private Keys (Root),HSM / Key Authority,Root signing or trust-anchor keys,Root CA keys,HSM _ Trust Store,high,high,high,CRT-C-0002; CRT-C-0003; CRT-C-0010; CRT-C-0065; CRT-C-0049; CRT-C-0005
CRT-D-0021,Privilege Boundary Artifacts,Artifacts controlling privilege boundaries,Critical,Critical,Privilege Boundary Artifacts,Identity Systems,Artifacts controlling privilege boundaries,"Domain admin credentials, PAM sessions",PAM _ Service _ Audit,high,high,high,CRT-C-0010; CRT-C-0012; CRT-C-0011; CRT-C-0002; CRT-C-0003; CRT-C-0049; CRT-C-0065
CRT-D-0022,Incident Response Materials,Sensitive forensics and response data,Critical,Critical,Incident Response Materials,IR Systems,Sensitive forensics and response data,"Forensic images, IR memos",IR _ Archive _ Legal,high,high,high,CRT-C-0050; CRT-C-0053; CRT-C-0049; CRT-C-0002; CRT-C-0003; CRT-C-0006
CRT-D-0023,Security Telemetry,Aggregated multi-source telemetry used for detection,Critical,Critical,Security Telemetry,SIEM/XDR,Aggregated multi-source telemetry used for detection,"Correlation logs, threat intel",Sensors _ SIEM _ Analytics,high,high,high,CRT-C-0049; CRT-C-0052; CRT-C-0017; CRT-C-0065; CRT-C-0005
CRT-D-0024,Cloud Control Plane Events,Events indicating control-plane activity or privilege escalation,Critical,Critical,Cloud Control Plane Events,Cloud,Events indicating control-plane activity or privilege escalation,AWS/GCP/Azure audit events,Cloud _ SIEM _ Response,high,high,high,CRT-C-0049; CRT-C-0051; CRT-C-0017; CRT-C-0065; CRT-C-0005
CRT-D-0025,Market Data Feeds,Vendor-supplied market data with licensing and operational constraints,Confidential,Confidential,Market Data Feeds,DMZ / Prod,Vendor-supplied market data with licensing and operational constraints,"Trade ticks, quotes, depth-of-book",Vendor _ DMZ _ Analytics,high,medium,medium,CRT-C-0003; CRT-C-0022; CRT-C-0025; CRT-C-0027; CRT-C-0049; CRT-C-0006
CRT-D-0026,ETL/Staging Data,Intermediate processing data,Confidential,Confidential,ETL/Staging Data,Analytics,Intermediate processing data,"Parquet snapshots, temp tables",DMZ _ ETL _ Lake,high,medium,medium,CRT-C-0002; CRT-C-0003; CRT-C-0005; CRT-C-0065; CRT-C-0049; CRT-C-0006
CRT-D-0027,System Metrics,Operational metrics not containing sensitive data,Internal,Internal,System Metrics,Prod,Operational metrics not containing sensitive data,"Memory stats, CPU utilisation",Agent _ Metrics Store _ Dashboard,medium,medium,medium,CRT-C-0049; CRT-C-0017; CRT-C-0065; CRT-C-0006
CRT-D-0028,Build Artifacts,Compilations or packaged applications that include internal logic,Confidential,Confidential,Build Artifacts,CICD,Compilations or packaged applications that include internal logic,"Docker images, JARs",Repo _ CICD _ Registry,high,medium,medium,CRT-C-0020; CRT-C-0005; CRT-C-0065; CRT-C-0049; CRT-C-0002; CRT-C-0003
CRT-D-0029,Testing Data,Obfuscated or synthetic data for testing,Internal,Internal,Testing Data,UAT,Obfuscated or synthetic data for testing,Mock customer profiles,Prod _ UAT _ Test,medium,medium,medium,CRT-C-0006; CRT-C-0005; CRT-C-0065; CRT-C-0049
CRT-D-0030,Shadow IT Data,Data processed outside governance visibility,Confidential,Confidential,Shadow IT Data,User Systems,Data processed outside governance visibility,"Local spreadsheets, ad-hoc BI extracts",User _ Local _ Upload,high,medium,medium,CRT-C-0008; CRT-C-0002; CRT-C-0003; CRT-C-0049; CRT-C-0039; CRT-C-0006
CRT-D-0031,Secrets-in-Code,Hard-coded secrets or credentials,Critical,Critical,Secrets-in-Code,Repos,Hard-coded secrets or credentials,Tokens in repos,Repo _ CICD _ Prod,high,high,high,CRT-C-0020; CRT-C-0012; CRT-C-0010; CRT-C-0002; CRT-C-0003; CRT-C-0049; CRT-C-0065
CRT-D-0032,Backup Archives,Long-term backups containing historical sensitive data,Restricted,Restricted,Backup Archives,Backup Systems,Long-term backups containing historical sensitive data,"DB dumps, snapshots",Prod _ Backup _ Archive,high,high,medium,CRT-C-0062; CRT-C-0060; CRT-C-0002; CRT-C-0003; CRT-C-0006; CRT-C-0049; CRT-C-0065
CRT-D-0033,Payment Data,Transactional or card-related information,Critical,Critical,Payment Data,Finance Systems,Transactional or card-related information,Tokenised card data,POS _ Processor _ Bank,high,high,high,CRT-C-0002; CRT-C-0003; CRT-C-0008; CRT-C-0039; CRT-C-0049; CRT-C-0006
CRT-D-0034,MFA Seed Data,Seed values used in 2FA/MFA generation,Restricted,Restricted,MFA Seed Data,Identity Systems,Seed values used in 2FA/MFA generation,TOTP seeds,Identity _ Device _ Auth,high,high,medium,CRT-C-0002; CRT-C-0003; CRT-C-0012; CRT-C-0007; CRT-C-0049; CRT-C-0065
CRT-D-0035,Customer Behavioural Data,Aggregated behavioural insights,Confidential,Confidential,Customer Behavioural Data,Analytics,Aggregated behavioural insights,"Clickstream, usage metrics",Web _ Analytics _ Dashboard,high,medium,medium,CRT-C-0002; CRT-C-0003; CRT-C-0008; CRT-C-0049; CRT-C-0006; CRT-C-0039
CRT-D-0036,Session Tokens,High-value tokens that grant user session access,Confidential,Confidential,Session Tokens,Auth,High-value tokens that grant user session access,"JWTs, OAuth tokens",Auth _ Browser/App _ Service,high,medium,medium,CRT-C-0002; CRT-C-0003; CRT-C-0012; CRT-C-0008; CRT-C-0049; CRT-C-0065
CRT-D-0037,Documentation Records,Non-sensitive operational documents,Internal,Internal,Documentation Records,Internal Apps,Non-sensitive operational documents,Internal wikis,Contributor _ Wiki _ Archive,medium,medium,medium,CRT-C-0006; CRT-C-0008; CRT-C-0049; CRT-C-0065
CRT-D-0038,Admin Audit Trails,Logs of admin actions with strong evidentiary value,Critical,Critical,Admin Audit Trails,Admin Systems,Logs of admin actions with strong evidentiary value,PAM logs,Admin _ SIEM _ Archive,high,high,high,CRT-C-0049; CRT-C-0010; CRT-C-0053; CRT-C-0002; CRT-C-0003; CRT-C-0006; CRT-C-0065
CRT-D-0039,Strategic Business Data,Sensitive strategic or M&A planning material,Restricted,Restricted,Strategic Business Data,Board / Exec Systems,Sensitive strategic or M&A planning material,"Strategy decks, risk plans",Exec _ Legal _ Archive,high,high,medium,CRT-C-0002; CRT-C-0003; CRT-C-0008; CRT-C-0039; CRT-C-0049; CRT-C-0006
CRT-D-0040,ML Training Data,High-value datasets used for training proprietary models,Critical,Critical,ML Training Data,Data Platforms,High-value datasets used for training proprietary models,"Labelled datasets, embeddings",Lake _ Training _ Archive,high,high,high,CRT-C-0002; CRT-C-0003; CRT-C-0063; CRT-C-0065; CRT-C-0049; CRT-C-0005; CRT-C-0006
CRT-D-0041,Contract Data,"Contracts, statements of work, and formal agreements with customers, vendors, and partners.",Confidential,Confidential,Contract Data,Internal Core,"Contracts, statements of work, and formal agreements with customers, vendors, and partners.","Master service agreements, data processing agreements, NDAs, licensing contracts.",Drafting _ Review _ e-Signature _ Document Repository _ Archive,high,medium,medium,CRT-C-0002; CRT-C-0003; CRT-C-0026; CRT-C-0008; CRT-C-0039; CRT-C-0049; CRT-C-0006
CRT-D-0042,Sales Data,"Records describing opportunities, pipelines, deals, quotes, and commercial performance metrics.",Confidential,Confidential,Sales Data,Internal Core,"Records describing opportunities, pipelines, deals, quotes, and commercial performance metrics.","CRM opportunity records, sales pipeline snapshots, quotations, order books.",CRM _ Data Warehouse _ BI / Reporting _ Long-term Archive,high,medium,medium,CRT-C-0002; CRT-C-0003; CRT-C-0008; CRT-C-0039; CRT-C-0049; CRT-C-0006
CRT-D-0043,Media Content,"Rich media assets used for brand, communications, training, or internal reference.",Internal,Internal,Media Content,Public Web; Internal Repos,"Rich media assets used for brand, communications, training, or internal reference.","Marketing videos, training recordings, product demo assets, internal town-hall recordings.",Capture _ Editing _ Publishing (web/portal/LMS) _ Archive,medium,medium,medium,CRT-C-0003; CRT-C-0065; CRT-C-0049; CRT-C-0006
CRT-D-0044,Threat Intelligence Data,"Structured indicators and context used to describe threats, attacker behaviours, and campaigns.",Internal,Internal,Threat Intelligence Data,Security Tools; Threat Intel Platforms,"Structured indicators and context used to describe threats, attacker behaviours, and campaigns.","IOCs, threat feeds, TTP catalogues, malware family tags, campaign profiles.",External Feeds _ Threat Intel Platform _ Detection Engineering _ SIEM / Data Lake,medium,medium,medium,CRT-C-0052; CRT-C-0049; CRT-C-0017; CRT-C-0065; CRT-C-0006
