standard_id,standard_name,standard_statement,description,mapped_control_ids,mapped_policy_ids,status,standard_sections
STD-0011,Access Control Standard,This standard defines mandatory requirements for access control.,"This standard establishes minimum expectations and organisational requirements for access control, supporting the parent policy and mapped user controls.",CRT-C-0007;CRT-C-0008;CRT-C-0009;CRT-C-0010;CRT-C-0011,POL-IAM-01,Active,Identity and Access Objectives; Access Design and Provisioning; Enforcement and Monitoring; Review and Recertification
STD-0012,Authentication Standard,This standard defines mandatory requirements for authentication.,"This standard establishes minimum expectations and organisational requirements for authentication, supporting the parent policy and mapped user controls.",CRT-C-0007;CRT-C-0009;CRT-C-0011;CRT-C-0012,POL-IAM-01,Active,Identity and Access Objectives; Access Design and Provisioning; Enforcement and Monitoring; Review and Recertification
STD-0013,Multi-Factor Authentication Standard,This standard defines mandatory requirements for multi-factor authentication.,"This standard establishes minimum expectations and organisational requirements for multi-factor authentication, supporting the parent policy and mapped user controls.",CRT-C-0007,POL-IAM-01,Active,Identity and Access Objectives; Access Design and Provisioning; Enforcement and Monitoring; Review and Recertification
STD-0014,Least Privilege Standard,This standard defines mandatory requirements for least privilege.,"This standard establishes minimum expectations and organisational requirements for least privilege, supporting the parent policy and mapped user controls.",CRT-C-0008;CRT-C-0010;CRT-C-0011,POL-IAM-01,Active,Identity and Access Objectives; Access Design and Provisioning; Enforcement and Monitoring; Review and Recertification
STD-0015,Segregation of Duties Standard,This standard defines mandatory requirements for segregation of duties.,"This standard establishes minimum expectations and organisational requirements for segregation of duties, supporting the parent policy and mapped user controls.",CRT-C-0008;CRT-C-0010;CRT-C-0011,POL-IAM-01,Active,Identity and Access Objectives; Access Design and Provisioning; Enforcement and Monitoring; Review and Recertification
STD-0016,Joiner-Mover-Leaver (JML) Standard,This standard defines mandatory requirements for joiner-mover-leaver (jml).,"This standard establishes minimum expectations and organisational requirements for joiner-mover-leaver (jml), supporting the parent policy and mapped user controls.",CRT-C-0008;CRT-C-0010;CRT-C-0011,POL-IAM-01,Active,Identity and Access Objectives; Access Design and Provisioning; Enforcement and Monitoring; Review and Recertification
STD-0017,System Logging Standard,This standard defines mandatory requirements for system logging.,"This standard establishes minimum expectations and organisational requirements for system logging, supporting the parent policy and mapped user controls.",CRT-C-0049,POL-LM-01,Active,"Logging and Monitoring Objectives; Log and Event Coverage; Retention, Analysis, and Escalation"
STD-0018,Log Retention Standard,This standard defines mandatory requirements for log retention.,"This standard establishes minimum expectations and organisational requirements for log retention, supporting the parent policy and mapped user controls.",CRT-C-0049,POL-LM-01,Active,"Logging and Monitoring Objectives; Log and Event Coverage; Retention, Analysis, and Escalation"
STD-0019,Security Monitoring Standard,This standard defines mandatory requirements for security monitoring.,"This standard establishes minimum expectations and organisational requirements for security monitoring, supporting the parent policy and mapped user controls.",CRT-C-0049,POL-LM-01,Active,"Logging and Monitoring Objectives; Log and Event Coverage; Retention, Analysis, and Escalation"
STD-0020,Alert Triage & Escalation Standard,This standard defines mandatory requirements for alert triage & escalation.,"This standard establishes minimum expectations and organisational requirements for alert triage & escalation, supporting the parent policy and mapped user controls.",CRT-C-0049;CRT-C-0050,POL-LM-01;POL-IR-01,Active,"Logging and Monitoring Objectives; Log and Event Coverage; Retention, Analysis, and Escalation"
STD-0021,Vulnerability Management Standard,This standard defines mandatory requirements for vulnerability management.,"This standard establishes minimum expectations and organisational requirements for vulnerability management, supporting the parent policy and mapped user controls.",CRT-C-0051,POL-NET-01;POL-SD-01,Active,Vulnerability Management Objectives; Discovery and Assessment; Remediation and Patch Coordination; Monitoring and Continuous Improvement
STD-0022,Patch Management Standard,This standard defines mandatory requirements for patch management.,"This standard establishes minimum expectations and organisational requirements for patch management, supporting the parent policy and mapped user controls.",CRT-C-0051,POL-SD-01,Active,Vulnerability Management Objectives; Discovery and Assessment; Remediation and Patch Coordination; Monitoring and Continuous Improvement
STD-0023,Configuration Management Standard,This standard defines mandatory requirements for configuration management.,"This standard establishes minimum expectations and organisational requirements for configuration management, supporting the parent policy and mapped user controls.",CRT-C-0014;CRT-C-0016;CRT-C-0017;CRT-C-0056;CRT-C-0057;CRT-C-0065,POL-SD-01,Active,Configuration Management Objectives; Baseline Definition and Hardening; Change Control and Exceptions; Monitoring and Assurance
STD-0024,Secure Build Standard,This standard defines mandatory requirements for secure build.,"This standard establishes minimum expectations and organisational requirements for secure build, supporting the parent policy and mapped user controls.",CRT-C-0020;CRT-C-0024,POL-SD-01,Active,"Secure Development Objectives; Design and Coding Requirements; Build, Integration, and Deployment Controls; Testing, Review, and Release Management"
STD-0025,Asset Inventory Standard,This standard defines mandatory requirements for asset inventory.,"This standard establishes minimum expectations and organisational requirements for asset inventory, supporting the parent policy and mapped user controls.",CRT-C-0057,POL-AM-01,Active,Asset Management Objectives; Inventory and Classification; Lifecycle Management
STD-0026,Asset Classification Standard,This standard defines mandatory requirements for asset classification.,"This standard establishes minimum expectations and organisational requirements for asset classification, supporting the parent policy and mapped user controls.",CRT-C-0001,POL-AM-01,Active,Asset Management Objectives; Inventory and Classification; Lifecycle Management
STD-0027,Data Classification Standard,This standard defines mandatory requirements for data classification.,"This standard establishes minimum expectations and organisational requirements for data classification, supporting the parent policy and mapped user controls.",CRT-C-0001,POL-AM-01;POL-DS-01,Active,"Data Protection Objectives; Classification and Handling; Protection Mechanisms; Retention, Disposal, and Privacy Considerations"
STD-0028,Data Handling Standard,This standard defines mandatory requirements for data handling.,"This standard establishes minimum expectations and organisational requirements for data handling, supporting the parent policy and mapped user controls.",CRT-C-0006,POL-DS-01,Active,"Data Protection Objectives; Classification and Handling; Protection Mechanisms; Retention, Disposal, and Privacy Considerations"
STD-0029,Data Retention & Disposal Standard,This standard defines mandatory requirements for data retention & disposal.,"This standard establishes minimum expectations and organisational requirements for data retention & disposal, supporting the parent policy and mapped user controls.",CRT-C-0006,POL-DS-01,Active,"Data Protection Objectives; Classification and Handling; Protection Mechanisms; Retention, Disposal, and Privacy Considerations"
STD-0030,Encryption Standard,This standard defines mandatory requirements for encryption.,"This standard establishes minimum expectations and organisational requirements for encryption, supporting the parent policy and mapped user controls.",CRT-C-0002;CRT-C-0003,POL-DS-01,Active,"Data Protection Objectives; Classification and Handling; Protection Mechanisms; Retention, Disposal, and Privacy Considerations"
STD-0031,Key Management Standard,This standard defines mandatory requirements for key management.,"This standard establishes minimum expectations and organisational requirements for key management, supporting the parent policy and mapped user controls.",CRT-C-0002;CRT-C-0003,POL-DS-01,Active,"Data Protection Objectives; Classification and Handling; Protection Mechanisms; Retention, Disposal, and Privacy Considerations"
STD-0032,Network Segmentation Standard,This standard defines mandatory requirements for network segmentation.,"This standard establishes minimum expectations and organisational requirements for network segmentation, supporting the parent policy and mapped user controls.",CRT-C-0014,POL-NET-01,Active,Network and Infrastructure Objectives; Architecture and Segmentation; Perimeter and Traffic Protection; Remote and Wireless Access
STD-0033,Boundary Protection Standard,This standard defines mandatory requirements for boundary protection.,"This standard establishes minimum expectations and organisational requirements for boundary protection, supporting the parent policy and mapped user controls.",CRT-C-0016;CRT-C-0017,POL-NET-01,Active,Network and Infrastructure Objectives; Architecture and Segmentation; Perimeter and Traffic Protection; Remote and Wireless Access
STD-0034,Remote Access Standard,This standard defines mandatory requirements for remote access.,"This standard establishes minimum expectations and organisational requirements for remote access, supporting the parent policy and mapped user controls.",CRT-C-0013,POL-IAM-01,Active,Network and Infrastructure Objectives; Architecture and Segmentation; Perimeter and Traffic Protection; Remote and Wireless Access
STD-0035,Wireless Security Standard,This standard defines mandatory requirements for wireless security.,"This standard establishes minimum expectations and organisational requirements for wireless security, supporting the parent policy and mapped user controls.",CRT-C-0015,POL-DS-01,Active,Network and Infrastructure Objectives; Architecture and Segmentation; Perimeter and Traffic Protection; Remote and Wireless Access
STD-0036,Email & Messaging Security Standard,This standard defines mandatory requirements for email & messaging security.,"This standard establishes minimum expectations and organisational requirements for email & messaging security, supporting the parent policy and mapped user controls.",CRT-C-0003;CRT-C-0004;CRT-C-0031;CRT-C-0049,POL-DS-01,Active,Network and Infrastructure Objectives; Architecture and Segmentation; Perimeter and Traffic Protection; Remote and Wireless Access
STD-0037,Endpoint Protection Standard,This standard defines mandatory requirements for endpoint protection.,"This standard establishes minimum expectations and organisational requirements for endpoint protection, supporting the parent policy and mapped user controls.",CRT-C-0004;CRT-C-0013;CRT-C-0015;CRT-C-0016;CRT-C-0017;CRT-C-0056;CRT-C-0057,POL-DS-01,Active,Network and Infrastructure Objectives; Architecture and Segmentation; Perimeter and Traffic Protection; Remote and Wireless Access
STD-0038,Malware Defense Standard,This standard defines mandatory requirements for malware defense.,"This standard establishes minimum expectations and organisational requirements for malware defense, supporting the parent policy and mapped user controls.",CRT-C-0017;CRT-C-0049;CRT-C-0051;CRT-C-0052,POL-DS-01,Active,Network and Infrastructure Objectives; Architecture and Segmentation; Perimeter and Traffic Protection; Remote and Wireless Access
STD-0039,Secure Admin Access Standard,This standard defines mandatory requirements for secure admin access.,"This standard establishes minimum expectations and organisational requirements for secure admin access, supporting the parent policy and mapped user controls.",CRT-C-0010,POL-IAM-01,Active,Identity and Access Objectives; Access Design and Provisioning; Enforcement and Monitoring; Review and Recertification
STD-0040,Privileged Access Standard,This standard defines mandatory requirements for privileged access.,"This standard establishes minimum expectations and organisational requirements for privileged access, supporting the parent policy and mapped user controls.",CRT-C-0010,POL-IAM-01,Active,Identity and Access Objectives; Access Design and Provisioning; Enforcement and Monitoring; Review and Recertification
STD-0041,Third-Party Risk Standard,This standard defines mandatory requirements for third-party risk.,"This standard establishes minimum expectations and organisational requirements for third-party risk, supporting the parent policy and mapped user controls.",CRT-C-0025;CRT-C-0026;CRT-C-0027;CRT-C-0028;CRT-C-0029;CRT-C-0030,POL-TP-01,Active,Third-Party and Supply Chain Objectives; Onboarding and Due Diligence; Contractual and Control Requirements; Ongoing Monitoring and Review
STD-0042,Vendor Security Assessment Standard,This standard defines mandatory requirements for vendor security assessment.,"This standard establishes minimum expectations and organisational requirements for vendor security assessment, supporting the parent policy and mapped user controls.",CRT-C-0025,POL-TP-01,Active,Third-Party and Supply Chain Objectives; Onboarding and Due Diligence; Contractual and Control Requirements; Ongoing Monitoring and Review
STD-0043,Contractual Security Requirements Standard,This standard defines mandatory requirements for contractual security requirements.,"This standard establishes minimum expectations and organisational requirements for contractual security requirements, supporting the parent policy and mapped user controls.",CRT-C-0026,POL-TP-01,Active,Third-Party and Supply Chain Objectives; Onboarding and Due Diligence; Contractual and Control Requirements; Ongoing Monitoring and Review
STD-0044,Third-Party Performance Monitoring Standard,This standard defines mandatory requirements for third-party performance monitoring.,"This standard establishes minimum expectations and organisational requirements for third-party performance monitoring, supporting the parent policy and mapped user controls.",CRT-C-0027,POL-TP-01,Active,Third-Party and Supply Chain Objectives; Onboarding and Due Diligence; Contractual and Control Requirements; Ongoing Monitoring and Review
STD-0045,Secure Development Standard,This standard defines mandatory requirements for secure development.,"This standard establishes minimum expectations and organisational requirements for secure development, supporting the parent policy and mapped user controls.",CRT-C-0019;CRT-C-0020;CRT-C-0021;CRT-C-0023;CRT-C-0024,POL-SD-01,Active,"Secure Development Objectives; Design and Coding Requirements; Build, Integration, and Deployment Controls; Testing, Review, and Release Management"
STD-0046,Code Handling Standard,This standard defines mandatory requirements for code handling.,"This standard establishes minimum expectations and organisational requirements for code handling, supporting the parent policy and mapped user controls.",CRT-C-0019;CRT-C-0020;CRT-C-0023;CRT-C-0024,POL-SD-01,Active,"Secure Development Objectives; Design and Coding Requirements; Build, Integration, and Deployment Controls; Testing, Review, and Release Management"
STD-0047,Pre-Release Review Standard,This standard defines mandatory requirements for pre-release review.,"This standard establishes minimum expectations and organisational requirements for pre-release review, supporting the parent policy and mapped user controls.",CRT-C-0019;CRT-C-0020;CRT-C-0023;CRT-C-0024,POL-SD-01,Active,"Secure Development Objectives; Design and Coding Requirements; Build, Integration, and Deployment Controls; Testing, Review, and Release Management"
STD-0048,Third-Party Component Standard,This standard defines mandatory requirements for third-party component.,"This standard establishes minimum expectations and organisational requirements for third-party component, supporting the parent policy and mapped user controls.",CRT-C-0019;CRT-C-0020;CRT-C-0022,POL-SD-01,Active,"Secure Development Objectives; Design and Coding Requirements; Build, Integration, and Deployment Controls; Testing, Review, and Release Management"
STD-0049,Business Continuity Planning Standard,This standard defines mandatory requirements for business continuity planning.,"This standard establishes minimum expectations and organisational requirements for business continuity planning, supporting the parent policy and mapped user controls.",CRT-C-0018;CRT-C-0060;CRT-C-0062,POL-BC-01,Active,"Resilience and Continuity Objectives; Planning and Design; Backup, Recovery, and Continuity Testing"
STD-0050,Backup and Recovery Standard,This standard defines mandatory requirements for backup and recovery.,"This standard establishes minimum expectations and organisational requirements for backup and recovery, supporting the parent policy and mapped user controls.",CRT-C-0062,POL-BC-01,Active,"Resilience and Continuity Objectives; Planning and Design; Backup, Recovery, and Continuity Testing"
STD-0051,Continuity Testing Standard,This standard defines mandatory requirements for continuity testing.,"This standard establishes minimum expectations and organisational requirements for continuity testing, supporting the parent policy and mapped user controls.",CRT-C-0062,POL-BC-01,Active,"Resilience and Continuity Objectives; Planning and Design; Backup, Recovery, and Continuity Testing"
STD-0052,Security Awareness Standard,This standard defines mandatory requirements for security awareness.,"This standard establishes minimum expectations and organisational requirements for security awareness, supporting the parent policy and mapped user controls.",CRT-C-0031,POL-AT-01,Active,Awareness and Training Objectives; Programme Design and Delivery; Measurement and Improvement
STD-0053,Role-Based Training Standard,This standard defines mandatory requirements for role-based training.,"This standard establishes minimum expectations and organisational requirements for role-based training, supporting the parent policy and mapped user controls.",CRT-C-0031;CRT-C-0033,POL-AT-01,Active,Awareness and Training Objectives; Programme Design and Delivery; Measurement and Improvement
STD-0054,Acceptable Use Standard,This standard defines mandatory requirements for acceptable use.,"This standard establishes minimum expectations and organisational requirements for acceptable use, supporting the parent policy and mapped user controls.",CRT-C-0035,POL-AT-01;POL-GOV-01,Active,Awareness and Training Objectives; Programme Design and Delivery; Measurement and Improvement
STD-0055,Secure Configuration Expectation Standard,This standard defines mandatory requirements for secure configuration expectation.,"This standard establishes minimum expectations and organisational requirements for secure configuration expectation, supporting the parent policy and mapped user controls.",CRT-C-0014;CRT-C-0015;CRT-C-0016;CRT-C-0017;CRT-C-0056;CRT-C-0057;CRT-C-0065,POL-SD-01,Active,Configuration Management Objectives; Baseline Definition and Hardening; Change Control and Exceptions; Monitoring and Assurance
STD-0056,Environment Separation Standard,This standard defines mandatory requirements for environment separation.,"This standard establishes minimum expectations and organisational requirements for environment separation, supporting the parent policy and mapped user controls.",CRT-C-0014,POL-AM-01;POL-BC-01,Active,"Secure Development Objectives; Design and Coding Requirements; Build, Integration, and Deployment Controls; Testing, Review, and Release Management"
STD-0057,Administrative Workstation Expectation Standard,This standard defines mandatory requirements for administrative workstation expectation.,"This standard establishes minimum expectations and organisational requirements for administrative workstation expectation, supporting the parent policy and mapped user controls.",CRT-C-0013;CRT-C-0014;CRT-C-0015;CRT-C-0016;CRT-C-0017;CRT-C-0065,POL-AM-01;POL-BC-01,Active,Configuration Management Objectives; Baseline Definition and Hardening; Change Control and Exceptions; Monitoring and Assurance
