lr_id,obligation_name,obligation_description,mapped_control_ids,severity,evidence_required,jurisdiction,source_reference_examples
LR-DATA-002,Data Classification & Handling,Maintain classification and handling rules for sensitive information.,CRT-C-0001;CRT-C-0039;CRT-C-0006,Medium,"Policies, procedures",Global;Singapore,ISO27001 A.5; MAS TRM 10
LR-DATA-003,Breach Notification Obligations,Notify affected parties of data breaches when required by risk or regulation.,CRT-C-0042;CRT-C-0054,Medium,Notification logs,EU;Global,GDPR 34; NIS; industry norms
LR-DATA-004,Data Retention & Destruction Governance,Maintain and enforce retention and destruction requirements for data.,CRT-C-0006,Medium,Retention logs,Global,ISO27001 A.8
LR-TPR-001,Supplier Risk Oversight,Evaluate supplier security posture as part of onboarding and ongoing review.,CRT-C-0025;CRT-C-0027,Medium,Vendor assessments,Global;US;Singapore,CAIQ; FFIEC; MAS
LR-TPR-002,Contractual Security Obligations,"Ensure contracts include security, resilience, and reporting requirements.",CRT-C-0026;CRT-C-0041,Medium,"Contracts, SLAs",EU,DORA; NIS2
LR-TPR-003,Concentration Risk Monitoring,Identify and manage concentration risks in the supply chain.,CRT-C-0025;CRT-C-0027;CRT-C-0048,Medium,Risk assessments,EU;UK;Singapore,DORA; PRA; MAS
LR-MON-001,Security Logging & Monitoring,Maintain monitoring and logging across systems supporting critical services.,CRT-C-0049;CRT-C-0017;CRT-C-0059,Medium,Log retention,EU;US;Global,NIS; FFIEC; ISO27001 A.12
LR-MON-002,Anomaly Detection,Detect anomalous or suspicious activity across key systems.,CRT-C-0049;CRT-C-0017;CRT-C-0034,High,Alert evidence,US;Global,NIST IR; ISO27001
LR-MON-003,Retention of Monitoring Records,Retain monitoring and logging evidence for required durations.,CRT-C-0059;CRT-C-0040;CRT-C-0006,Medium,Retention logs,Global;EU,PCI; NIS; DORA
LR-REP-001,Operational Resilience Documentation,Maintain documentation demonstrating the organisation's resilience posture.,CRT-C-0037;CRT-C-0040;CRT-C-0018,Medium,Documentation sets,UK;EU;Singapore,PRA; DORA; MAS
LR-REP-002,Regulatory Assurance Evidence,"Provide evidence of controls, risk assessments, testing, and governance when requested.",CRT-C-0040;CRT-C-0037;CRT-C-0038,Medium,Assurance packs,US;UK,FFIEC; SEC; PRA
LR-REP-003,Annual Attestation Requirements,Provide annual attestation on the adequacy of security and resilience practices.,CRT-C-0037;CRT-C-0040;CRT-C-0038,Medium,Attestation,Global,Industry practice
LR-HUM-001,Security Awareness Expectations,Ensure personnel receive periodic security awareness training.,CRT-C-0031;CRT-C-0035,Medium,Training records,Global,ISO27001 A.6; PCI DSS 12
LR-HUM-002,Role-Based Training Obligations,Provide training relevant to privileged or specialist roles.,CRT-C-0031;CRT-C-0035,Low,Training records,Global,ISO27001 A.6
LR-HUM-003,Behavioural Monitoring Expectations,Maintain mechanisms for identifying abnormal user behaviour or insider risks.,CRT-C-0032;CRT-C-0034;CRT-C-0036,Medium,Monitoring records,Global,Industry norms
LR-PRIV-001,Transparency of Processing,"Provide individuals with clear, accessible information about what personal data is collected, why it is collected, how it is used, and who it is shared with.",CRT-C-0039,Medium,"Privacy notices, records of processing",EU;UK;US,GDPR Art.12–14; UK DPA; CCPA
LR-PRIV-002,Purpose Limitation,"Ensure personal data is collected and used only for explicit, legitimate purposes and is not reused for incompatible purposes.",CRT-C-0039,High,"Records of processing, policy statements",EU;Brazil;Singapore,GDPR Art.5(1)(b); LGPD; PDPA
LR-PRIV-003,Data Minimisation,Limit the collection and processing of personal data to what is necessary for the stated purposes.,CRT-C-0039,High,"Data collection standards, application forms",EU;US,GDPR Art.5(1)(c); HIPAA minimum necessary
LR-PRIV-004,Retention Limitation for Personal Data,Define and apply retention periods so personal data is not kept longer than necessary for business or legal purposes.,CRT-C-0006;CRT-C-0039,High,"Retention schedules, deletion logs",EU;UK;Global,GDPR Art.5(1)(e); UK DPA; global practice
LR-PRIV-005,Data Accuracy for Personal Information,"Take reasonable steps to keep personal data accurate and up to date, including mechanisms for correction.",CRT-C-0039,Medium,"Correction logs, data quality checks",EU;Global,GDPR Art.5(1)(d); global practice
LR-PRIV-006,Rights of Individuals over Personal Data,"Provide mechanisms for individuals to exercise applicable rights over their personal data (e.g., access, correction, deletion, objection).",CRT-C-0039,Medium,"Request handling procedures, logs",EU;US;Brazil,GDPR Art.15–22; CCPA; LGPD
LR-PRIV-007,Third-Party Personal Data Processing Requirements,"Ensure third parties processing personal data provide adequate contractual, technical, and organisational safeguards.",CRT-C-0026;CRT-C-0039,High,"Data processing agreements, due diligence records",EU;Global,GDPR Art.28; SCCs; DPAs
LR-PRIV-008,Security of Personal Data Processing,"Apply appropriate technical and organisational measures to preserve confidentiality, integrity, and availability of personal data.",CRT-C-0002;CRT-C-0003;CRT-C-0005;CRT-C-0010;CRT-C-0011;CRT-C-0039,High,"Security measures, risk assessments",EU;US;Global,GDPR Art.32; ISO27701; HIPAA
LR-PRIV-009,Internal Personal Data Breach Handling,"Maintain processes to detect, assess, internally report, and document personal-data breaches.",CRT-C-0049;CRT-C-0050;CRT-C-0042;CRT-C-0039,High,"Incident logs, breach registers",EU;Global,GDPR Art.33 (internal duty); global practice
