group_id,group_domain,control_id,control_name,sub_domain,description,type,function,risk_level,objective,key_challenges,strategic_risks,deployment_exposure_context,use_case_scope,mapped_failure_ids,rationale_summary,mapped_compensation_ids,observations
CRT-G-02,Access and Identity Security,CRT-C-0011,Identity Lifecycle Management,Identity Provisioning & Deprovisioning,"Automates and governs creation, modification, and removal of user identities throughout their lifecycle.",Common,Preventative / Corrective,High,Ensure timely provisioning and de-provisioning to reduce orphan accounts and privilege creep.,"Integration with HR systems, manual on/off-boarding, shadow accounts.","Excess access, insider threat, audit failure.",All environments; critical for federated and cloud directory services.,SME → Enterprise.,FM-003;FM-006;FM-011;FM-015;FM-038;FM-041,Unrevoked or residual accounts and unmanaged tools extend trust beyond intended scope. Account-revocation and entitlement tracking close residual trust gaps.,CRT-N-0016;CRT-N-0053;CRT-N-0054;CRT-N-0055;CRT-N-0057,Provides foundation for authorisation accuracy and regulatory traceability.
CRT-G-02,Access and Identity Security,CRT-C-0012,Password Hygiene and Credential Hardening,Credential Security,"Establishes requirements for password length, complexity, rotation, and storage to reduce credential compromise.",Common,Preventative,Moderate,Mitigate password-related breach vectors through hardened credential standards.,"User fatigue, reuse across systems, insecure storage.","Account takeover, phishing success, credential stuffing.",Universal control; applies to all auth mechanisms including service accounts.,Personal → SME → Enterprise.,FM-003;FM-004;FM-006;FM-015;FM-026;FM-038,"Weak or reused credentials, combined with user fatigue, create recurring compromise vectors.",CRT-N-0053;CRT-N-0054;CRT-N-0055,Foundational but diminishing as passwordless approaches mature; remains baseline for legacy systems.
CRT-G-03,Infrastructure and Connectivity Risk,CRT-C-0013,Secure Remote Access (VPN / ZTNA),Remote Access Security,"Establishes encrypted, policy-controlled remote access using VPN or Zero-Trust Network Access (ZTNA) architectures.",Common,Preventative,High,"Safeguard remote connections by verifying user, device, and session context before granting network access.","Credential leakage, weak endpoint posture checks, performance degradation.","Network intrusion, lateral movement, data exfiltration.",Essential for hybrid and remote-work models; aligns with zero-trust segmentation principles.,SME → Enterprise.,FM-003;FM-004;FM-006;FM-015;FM-016;FM-025;FM-041,Weak configuration or external-provider dependencies expose remote channels to misuse.,CRT-N-0055;CRT-N-0062;CRT-N-0071;CRT-N-0075,Foundational for secure hybrid operations; integrates with MFA and endpoint-health telemetry.
CRT-G-03,Infrastructure and Connectivity Risk,CRT-C-0014,Network Segmentation,Network Zoning & Microsegmentation,Divides networks into security zones to limit lateral movement and isolate critical assets.,Common,Preventative / Detective,High,Contain breaches and enforce least-privilege connectivity.,"Over-segmentation complexity, firewall rule management, visibility gaps.","Unchecked spread of malware, privilege escalation, operational downtime.",Core to on-prem and hybrid architectures; must integrate with identity-aware routing.,SME → Enterprise.,FM-006;FM-011;FM-015;FM-016;FM-037;FM-043,Poorly maintained segments or elevated privileges can erode isolation boundaries.,CRT-N-0034;CRT-N-0071;CRT-N-0075;CRT-N-0068,Structural defence mechanism; supports resilience by compartmentalising compromise impact.
CRT-G-03,Infrastructure and Connectivity Risk,CRT-C-0015,Secure Wi-Fi Management,Wireless Access Security,"Implements strong encryption (WPA3), network segmentation, and access control for wireless networks.",Common,Preventative,Moderate,Protect data in transit and prevent rogue-access-point intrusion.,"Legacy devices, credential sharing, guest-network isolation.","Eavesdropping, credential harvesting, local breach propagation.",Office and branch environments; applies to IoT and BYOD contexts.,SME → Enterprise.,FM-001;FM-003;FM-011;FM-015;FM-016;FM-026,"Mis-set SSIDs, weak policies, or inattentive users create broadcast and interception risks.",CRT-N-0055;CRT-N-0062;CRT-N-0071;CRT-N-0075,Baseline physical-layer safeguard; complements remote-access and segmentation controls.
CRT-G-03,Infrastructure and Connectivity Risk,CRT-C-0016,Public Network Access Hardening,Internet Exposure Management,"Restricts or secures direct exposure of internal services to public networks through reverse-proxies, firewalls, or CASB controls.",Supplemental,Preventative,Moderate,Reduce external attack surface and minimise unauthorised ingress/egress paths.,"Misconfigured firewalls, inconsistent cloud security-groups, shadow endpoints.","Data breach, ransomware infiltration, DDoS exposure.",Cloud and internet-facing infrastructure; relies on continuous attack-surface management.,SME → Enterprise.,FM-001;FM-003;FM-010;FM-015;FM-016;FM-025,Internet-facing assets require continuous validation; drift or failed recovery opens attack surface.,CRT-N-0034;CRT-N-0062;CRT-N-0069;CRT-N-0071;CRT-N-0075,Often overlooked in hybrid setups; provides measurable reduction in exposure footprint.
CRT-G-03,Infrastructure and Connectivity Risk,CRT-C-0017,Secure DNS and Network Traffic Monitoring,DNS Security & Traffic Analytics,"Utilises DNS filtering, anomaly detection, and encrypted-traffic inspection to identify malicious communication patterns.",Common,Detective / Preventative,High,Detect command-and-control or data-exfiltration activity early.,"Encrypted-traffic visibility, privacy balance, tuning alert thresholds.","Stealth malware persistence, delayed incident detection, lateral compromise.",Network and cloud gateways; dependent on robust telemetry pipelines.,SME → Enterprise.,FM-007;FM-015;FM-017;FM-035;FM-036;FM-030,Logging and detection lag obscure DNS tunnelling or anomalous traffic patterns.,CRT-N-0040;CRT-N-0068;CRT-N-0075;CRT-N-0079;CRT-N-0080;CRT-N-0081,Enhances situational awareness; key telemetry feed for AI Observation Console.
CRT-G-03,Infrastructure and Connectivity Risk,CRT-C-0018,Infrastructure Resilience Planning,Infrastructure Resilience & Capacity,"Defines redundancy, failover, and capacity-planning strategies to sustain critical services under fault or attack.",Contextual,Corrective / Preventative,High,Maintain operational continuity through engineered resilience and contingency design.,"Cost constraints, configuration drift, dependency under-mapping.","Service outage, cascading failure, recovery-time breach.",All infrastructures; vital for regulated and mission-critical environments.,SME → Enterprise.,FM-008;FM-020;FM-029;FM-030;FM-034;FM-040,Concentrated hosting or untested recovery plans amplify outage and continuity risks.,CRT-N-0072;CRT-N-0073;CRT-N-0074;CRT-N-0064;CRT-N-0102,Forms the backbone of recovery architecture; links with metrics dashboard and simulation engine.
CRT-G-03,Infrastructure and Connectivity Risk,CRT-C-0065,Technical Baseline Governance,Secure Configuration Governance,"Establishes and maintains hardened technical baselines for systems, platforms, and cloud services, covering configuration, time synchronisation, service exposure, authentication, logging, and protocol governance. Ensures baselines are version-controlled, enforced, monitored for drift, and aligned with organisational policies, risk expectations, and regulatory requirements.",Common,Preventative / Detective,High,"Provide a consistent, measurable, and enforceable foundation of secure configuration across all technology stacks, enabling early detection of misconfiguration, reducing attack surface, and supporting forensic traceability and operational integrity.",Configuration drift across environments; inconsistent baseline ownership; legacy platforms; cloud/modern stack complexity; lack of automated compliance tooling; gaps between policy requirements and platform enforcement.,Privilege escalation; silent misconfiguration; timestamp inaccuracies; log integrity failures; broadened attack surface; exploitation of insecure defaults; systemic weaknesses enabling lateral movement.,Configuration drift across environments; inconsistent baseline ownership; legacy platform variance; cloud/provider abstraction gaps; lack of automated compliance validation.,SME → Enterprise,FM-001;FM-002;FM-006;FM-018;FM-041;FM-037;FM-043,"Misconfigured or unmaintained baselines introduce systemic weaknesses that attackers exploit before higher-order controls activate. Baseline governance ensures technical foundations remain secure, coherent, and aligned with risk posture.",CRT-N-0038;CRT-N-0039;CRT-N-0065;CRT-N-0066;CRT-N-0068;CRT-N-0071;CRT-N-0079,"Baseline governance is frequently assumed but rarely implemented consistently; automated compliance drift detection is essential; forms the connective tissue between policy intent, standards, and operational reality."
CRT-G-04,Application and Integration Risk,CRT-C-0019,Secure API Gateways,API Access & Boundary Protection,"Implements authentication, rate limiting, and payload validation at the API boundary to prevent unauthorised access and abuse.",Common,Preventative,High,Safeguard data exchange between internal and external services through consistent policy enforcement.,"Token leakage, inconsistent API versioning, weak logging visibility.","Data exposure, privilege escalation, dependency exploitation.",Cloud-native and hybrid integration layers; applies to microservice and B2B interfaces.,SME → Enterprise.,FM-010;FM-011;FM-015;FM-016;FM-030;FM-035,"Gateways fail when integrations drift, vendor endpoints misalign, or trust boundaries blur.",CRT-N-0055;CRT-N-0062;CRT-N-0069;CRT-N-0075;CRT-N-0079;CRT-N-0080,Cornerstone of integration security; API misuse often leads to systemic compromise if not monitored continuously.
CRT-G-04,Application and Integration Risk,CRT-C-0020,Secure Software Development Lifecycle (SSDLC),Secure SDLC Governance,"Integrates security activities—threat modelling, code review, dependency scanning—throughout the development lifecycle.",Common,Preventative / Detective,High,Identify and remediate vulnerabilities early in design and build stages.,"Developer engagement, tooling consistency, dependency management.","Vulnerable releases, regulatory exposure, reputational loss.","Enterprise development pipelines, DevSecOps, and third-party software integration.",SME → Enterprise.,FM-001;FM-010;FM-018;FM-022;FM-043,Development control lapses and poor update discipline allow latent defects and stale playbooks. Development pipelines enforce pre-deployment validation and rollback discipline.,CRT-N-0038;CRT-N-0039;CRT-N-0065;CRT-N-0066;CRT-N-0070;CRT-N-0049;CRT-N-0050,Foundational for shift-left resilience; reinforces secure culture within engineering teams.
CRT-G-04,Application and Integration Risk,CRT-C-0021,Application Layer Access Control,Application Authorisation Controls,"Enforces identity-aware, role-based access rules at the application tier independent of network perimeter.",Common,Preventative,High,Prevent unauthorised access and privilege misuse within application logic.,"Policy granularity, custom code bypasses, decentralised access checks.","Data manipulation, privilege abuse, business-logic exploitation.","Web, SaaS, and internal apps; integral to zero-trust models.",SME → Enterprise.,FM-003;FM-005;FM-011;FM-015;FM-016,Weak or misaligned logic in app-layer roles allows privilege overlap and trust gaps.,CRT-N-0053; CRT-N-0054; CRT-N-0055; CRT-N-0056; CRT-N-0057,Complements MFA and fine-grained authorisation; enforces least privilege at transaction level.
CRT-G-04,Application and Integration Risk,CRT-C-0022,Third-Party Integration Risk Assessment,Third-Party Application Risk,"Evaluates the security posture, dependency mapping, and data exposure of integrated third-party applications.",Supplemental,Preventative / Detective,Moderate,"Identify and manage risk introduced by external APIs, plug-ins, and SaaS dependencies.","Vendor visibility, version drift, lack of contractual assurances.","Supply-chain compromise, data leakage, compliance gap.",Common across SaaS and hybrid ecosystems; should align with vendor-risk framework.,SME → Enterprise.,FM-009;FM-010;FM-013;FM-037,Unvetted integrations introduce external exposure and governance ambiguity.,CRT-N-0022; CRT-N-0023; CRT-N-0024; CRT-N-0025; CRT-N-0026; CRT-N-0027; CRT-N-0028; CRT-N-0029; CRT-N-0030; CRT-N-0031,Directly supports vendor-risk domain; cross-links to CRT-C-0025 (Third-Party Risk Assessment Framework).
CRT-G-04,Application and Integration Risk,CRT-C-0023,Web Application Firewalls (WAF),Web Application Perimeter,"Filters, monitors, and blocks malicious HTTP/S traffic using rule-based and behavioural analytics.",Common,Preventative / Detective,High,"Protect public-facing web applications from injection, cross-site scripting, and protocol abuse.","False positives, bypass through obfuscation, rule maintenance.","Web defacement, data exfiltration, downtime from exploit attempts.",Internet-facing assets and reverse proxies; integrates with CDN and SIEM.,SME → Enterprise.,FM-010;FM-016;FM-017;FM-035,Misconfigured WAF rules or overreliance on detection cause coverage gaps.,CRT-N-0069; CRT-N-0070; CRT-N-0071; CRT-N-0075; CRT-N-0077; CRT-N-0079; CRT-N-0080; CRT-N-0081; CRT-N-0084,Critical control for exposed services; functions best when linked to continuous vulnerability management.
CRT-G-04,Application and Integration Risk,CRT-C-0024,Data Validation and Output Encoding,Input Validation & Output Encoding,Ensures all user inputs are validated and outputs encoded to prevent injection or cross-site scripting attacks.,Common,Preventative,High,Maintain integrity of application data flow and user-facing content.,"Legacy code coverage, inconsistent framework use, developer awareness.","Code injection, data corruption, information disclosure.",Universal across application stack; requires coding standards and validation libraries.,SME → Enterprise.,FM-010;FM-005;FM-026,Validation bypasses or rule drift expose injection and data manipulation paths.,CRT-N-0069; CRT-N-0070; CRT-N-0039; CRT-N-0041; CRT-N-0043,Essential secure-coding control; forms backbone of input sanitation within SSDLC.
CRT-G-05,Third-Party and Vendor Risk,CRT-C-0025,Third-Party Risk Assessment Framework,Third-Party Risk Methodology,Establishes a consistent method to evaluate the cybersecurity posture and resilience of all third-party providers before engagement.,Common,Preventative / Detective,High,Identify vulnerabilities and governance gaps introduced through vendor relationships.,"Supplier transparency, questionnaire fatigue, inconsistent scoring models.","Supply-chain compromise, contractual exposure, systemic dependency.",Procurement and vendor-management processes across all sectors.,SME → Enterprise.,FM-009;FM-013;FM-037;FM-042,"Without structured risk assessment, vendor exposure remains opaque and unverified.",CRT-N-0022; CRT-N-0023; CRT-N-0024; CRT-N-0025; CRT-N-0026; CRT-N-0027; CRT-N-0028; CRT-N-0030; CRT-N-0031,Foundation for all downstream vendor-security processes; informs continuous monitoring controls.
CRT-G-05,Third-Party and Vendor Risk,CRT-C-0026,Contractual Security Clauses,Security & Privacy Contracting,"Embeds explicit security, confidentiality, and incident-reporting obligations within vendor and outsourcing contracts.",Common,Preventative,Moderate,Establish enforceable minimum controls and liability boundaries.,"Legal interpretation variance, update cycles, jurisdictional differences.","Regulatory breach, weak recourse for non-compliance, unmanaged subcontractors.",Contract formation and renewal across supply-chain tiers.,SME → Enterprise.,FM-009;FM-013;FM-042,Weak contractual obligations or outdated clauses cause enforcement and reporting breakdowns.,CRT-N-0023; CRT-N-0024; CRT-N-0025; CRT-N-0026; CRT-N-0028; CRT-N-0029; CRT-N-0030; CRT-N-0031; CRT-N-0095; CRT-N-0096,Serves as governance backbone for third-party oversight; aligns with ISO A.15 and DORA 3.
CRT-G-05,Third-Party and Vendor Risk,CRT-C-0027,Ongoing Vendor Monitoring,Vendor Continuous Monitoring,"Implements continuous or periodic assessment of vendor-security posture through attestations, scans, or telemetry feeds.",Supplemental,Detective,High,Detect material changes in risk exposure or control degradation over time.,"Data timeliness, monitoring cost, third-party cooperation.","Blind-spot persistence, outdated assurance data, delayed incident awareness.",Post-onboarding oversight across managed services and SaaS suppliers.,SME → Enterprise.,FM-009;FM-017;FM-035;FM-036,Failure to continuously review third-party posture creates untracked deterioration of assurance.,CRT-N-0024; CRT-N-0025; CRT-N-0026; CRT-N-0027; CRT-N-0028; CRT-N-0029; CRT-N-0030; CRT-N-0078,Critical to resilience of extended enterprise; integrates with Telemetry & Signal Console.
CRT-G-05,Third-Party and Vendor Risk,CRT-C-0028,Segregated Access and Permissions,Vendor Access Separation,"Enforces logical and physical separation of vendor credentials, sessions, and privileges from internal accounts.",Common,Preventative,High,Prevent unauthorised cross-access and contain vendor-origin breaches.,"Shared accounts, temporary access sprawl, inadequate audit trails.","Privilege escalation, insider collusion, uncontrolled data movement.",Multi-tenant and hybrid infrastructures using outsourced administration.,SME → Enterprise.,FM-011;FM-015;FM-038,Vendors granted broad access without segmentation amplify cross-tenant exposure. Cross-tenant mapping and identity hygiene prevent orphaned external access paths.,CRT-N-0053; CRT-N-0055; CRT-N-0056; CRT-N-0057; CRT-N-0071,Complements PAM and MFA; foundational to zero-trust vendor access.
CRT-G-05,Third-Party and Vendor Risk,CRT-C-0029,Incident Response Integration,Vendor Incident Integration,"Ensures vendor incident-response plans integrate with organisational escalation, communication, and forensics workflows.",Supplemental,Corrective / Detective,High,Achieve coordinated containment and transparency during shared incidents.,"Contractual clarity, cross-time-zone coordination, inconsistent notification timing.","Prolonged outages, duplicated effort, regulatory sanction for delayed disclosure.","Outsourced service arrangements, managed SOC, and cloud-provider relationships.",SME → Enterprise.,FM-009;FM-019;FM-030;FM-040,Misaligned playbooks and delayed cross-boundary communication hinder joint containment. Coordinated breach-reporting across partners prevents legal and timing misalignment.,CRT-N-0095; CRT-N-0096; CRT-N-0086; CRT-N-0087; CRT-N-0088; CRT-N-0089; CRT-N-0090; CRT-N-0094; CRT-N-0105,Strengthens operational resilience; reinforces shared-responsibility model.
CRT-G-05,Third-Party and Vendor Risk,CRT-C-0030,Termination and Exit Controls,Vendor Offboarding & Exit,"Defines structured off-boarding procedures for vendors, including data return, credential revocation, and access decommissioning.",Common,Corrective,Moderate,Prevent post-contract data leakage and residual-access risk.,"Data-erasure verification, multi-system dependencies, incomplete audit trails.","Persistent credentials, data-retention breaches, reputational damage.",Contract end-of-life and service transition phases.,SME → Enterprise.,FM-038;FM-015;FM-020,Incomplete deprovisioning and unclear ownership extend residual risk post-contract.,CRT-N-0031; CRT-N-0026; CRT-N-0028; CRT-N-0095,Completes vendor-risk lifecycle; essential for GDPR and DORA compliance closure.
CRT-G-06,Behavioural and Human Factor Risks,CRT-C-0031,Phishing Simulation and Awareness Training,Awareness & Simulation,Conducts simulated phishing exercises and provides adaptive training to strengthen user awareness and reporting culture.,Common,Preventative / Detective,High,Reduce susceptibility to social engineering through practical reinforcement and metrics-based feedback.,"User fatigue, inconsistent reinforcement, metric misinterpretation.","Credential compromise, malware infiltration, insider-assisted attacks.",Organisation-wide; integral to workforce security programmes.,Personal → SME → Enterprise.,FM-003;FM-005;FM-026;FM-031;FM-039;FM-041;FM-034,"Repetitive or uncontextualised training desensitises staff, weakening vigilance and oversight.",CRT-N-0059; CRT-N-0060,Foundational behavioural safeguard; complements technical email-security measures.
CRT-G-06,Behavioural and Human Factor Risks,CRT-C-0032,Insider Threat Monitoring and Response,Insider Risk Management,Implements behavioural analytics and escalation procedures to detect and respond to insider misuse or data exfiltration.,Common,Detective / Corrective,High,Identify anomalous user activity and reduce harm from negligent or malicious insiders.,"Privacy constraints, alert fatigue, false positives.","Data loss, reputational damage, regulatory non-compliance.",All organisational layers; most effective when linked with HR and compliance functions.,SME → Enterprise.,FM-003;FM-005;FM-011;FM-015;FM-032;FM-041;FM-036;FM-038;FM-039,"Without continuous behavioural and contextual analytics, insider misuse goes undetected.",CRT-N-0077; CRT-N-0041; CRT-N-0080; CRT-N-0081,Blends technical and behavioural data; success depends on cultural maturity and governance clarity.
CRT-G-06,Behavioural and Human Factor Risks,CRT-C-0033,Secure-by-Design UX Practices,Secure UX & Safe Defaults,Integrates security cues and safe defaults within user interfaces to reduce behavioural errors and accidental exposures.,Supplemental,Preventative,Moderate,Guide secure behaviour by design rather than relying solely on training.,"Balancing usability with control enforcement, inconsistent UX patterns, resource constraints.","Misconfiguration, user bypass of controls, cognitive overload.",Software and platform development with user interaction layers.,SME → Enterprise.,FM-004;FM-012;FM-033;FM-026;FM-041;FM-018,Complex UX or poor workflow design encourages circumvention of intended security controls.,CRT-N-0057; CRT-N-0059,Reinforces “secure usability” principle; supports risk reduction through intuitive design.
CRT-G-06,Behavioural and Human Factor Risks,CRT-C-0034,Behavioural Baseline Monitoring,Behavioural Analytics,Establishes behavioural norms for digital interactions to detect anomalies or shifts that may indicate compromise or stress.,Supplemental,Detective,Moderate,Enable early detection of behavioural deviations linked to insider threat or burnout.,"Privacy balance, false correlation, limited contextual data.","Insider risk escalation, reduced morale, trust erosion.",Internal analytics programmes; best integrated with employee wellbeing and HR processes.,SME → Enterprise.,FM-003;FM-005;FM-011;FM-015;FM-026;FM-034;FM-036;FM-041;FM-039,Drift in behavioural patterns or overconfidence in baseline models causes latent exposure.,CRT-N-0077; CRT-N-0080; CRT-N-0081,Bridge between cyber analytics and human factors; fosters proactive intervention culture.
CRT-G-06,Behavioural and Human Factor Risks,CRT-C-0035,Clear Reporting Channels and Protections,Speak-Up & Reporting Channels,"Establishes confidential, non-punitive mechanisms for employees to report security incidents or suspicious behaviour.",Common,Preventative / Corrective,Moderate,Encourage timely reporting and cultural trust without fear of retribution.,"Perceived retaliation risk, inconsistent follow-up, awareness gaps.","Unreported incidents, delayed containment, regulatory non-disclosure.",Universal organisational policy; must integrate with ethics and HR frameworks.,Personal → SME → Enterprise.,FM-005;FM-019;FM-034;FM-038;FM-041;FM-042,Staff hesitate to report anomalies if reporting pathways are unclear or culturally unsafe.,CRT-N-0059,Cultural linchpin of behavioural security; reinforces accountability and openness.
CRT-G-06,Behavioural and Human Factor Risks,CRT-C-0036,Fatigue and Burnout Monitoring,Workforce Resilience & Fatigue,Implements processes and tooling to identify workload imbalance or stress conditions linked to security control failures.,Contextual,Preventative / Detective,Moderate,Maintain staff effectiveness and reduce error likelihood under operational stress.,"Privacy compliance, subjective data accuracy, lack of organisational focus.","Operational error, oversight fatigue, insider negligence.","Security operations, IT administration, and high-intensity response functions.",SME → Enterprise.,FM-004;FM-005;FM-018;FM-019;FM-026;FM-034;FM-041;FM-036,Human exhaustion reduces detection performance and coordination quality across teams.,CRT-N-0015;CRT-N-0021,Often overlooked resilience layer; vital for sustaining human performance in defence environments.
