CRT-AS,,,,,,,,,,,,,,,,,
POL-DS-01,Data Security & Privacy Policy,"Governance for data protection, privacy, and data lifecycle security.",CRT-C-0001;CRT-C-0002;CRT-C-0003;CRT-C-0004;CRT-C-0005;CRT-C-0006;CRT-C-0039,STD-0027;STD-0028;STD-0029;STD-0030;STD-0031;STD-0035;STD-0036;STD-0037;STD-0038;STD-0057,Active,Information Classification & Handling; Data Protection – At Rest; Data Protection – In Transit; Data Loss Prevention; Data Integrity & Change Control,,,,,,,,,,,
POL-IAM-01,Identity & Access Management Policy,"Governance for identity lifecycle, access control, and authentication.",CRT-C-0007;CRT-C-0008;CRT-C-0009;CRT-C-0010;CRT-C-0011;CRT-C-0012;CRT-C-0045,STD-0011;STD-0012;STD-0013;STD-0014;STD-0015;STD-0016;STD-0034;STD-0039;STD-0040;STD-0057,Active,Access Control; Privileged Access; Authentication & MFA; Identity Lifecycle Management; Session Management,,,,,,,,,,,
CRT-REQ,,,,,,,,,,,,,,,,,
requirement_set_id,requirement_id,requirement_ref,requirement_name,requirement_text,requirement_category,requirement_subcategory,source_ref,mapped_control_ids,rationale_summary,status,notes,,,,,,
REQ-NIST-80053-R5,REQ-NIST-001,AC-2,Account Management,"The organization manages information system accounts, including identification, authorization, and monitoring.",Access Control,Account Management,NIST SP 800-53 Rev5 AC-2,CRT-C-0011;CRT-C-0010;CRT-C-0012,Maps to user/privileged access lifecycle controls.,Active,Public domain.,,,,,,
REQ-NIST-80053-R5,REQ-NIST-002,AC-3,Access Enforcement,The information system enforces approved authorizations for logical access to resources.,Access Control,Authorization,NIST SP 800-53 Rev5 AC-3,CRT-C-0008;CRT-C-0021;CRT-C-0014,Aligns with access governance and enforcement controls.,Active,Public domain.,,,,,,
CRT-SC,,,,,,,,,,,,,,,,,
vendor_id,service_type,dependency_type,criticality,region,contract_tier,data_access_level,failure_modes,vendor_archetype,example_vendors,notes,source_ref,mapped_control_ids,,,,,
SC-0001,IaaS,direct,high,global,enhanced,full,outage;identity-failure,Cloud Infrastructure Provider (IaaS),AWS; Azure; DigitalOcean,Primary cloud platform,baseline,CRT-C-0018; CRT-C-0065; CRT-C-0049; CRT-C-0040; CRT-C-0026; CRT-C-0030,,,,,
SC-0002,IaaS,direct,high,global,enhanced,full,outage,Cloud Infrastructure Provider (IaaS),AWS; Azure; DigitalOcean,Alternative cloud tenancy,baseline,CRT-C-0018; CRT-C-0065; CRT-C-0049; CRT-C-0040; CRT-C-0026,,,,,
CRT-STD,,,,,,,,,,,,,,,,,
standard_id,standard_name,standard_statement,description,mapped_control_ids,mapped_policy_ids,status,standard_sections,,,,,,,,,,
STD-0001,Governance Alignment Standard,This standard defines mandatory requirements for governance alignment.,"This standard establishes minimum expectations and organisational requirements for governance alignment, supporting the parent policy and mapped user controls.",CRT-C-0037;CRT-C-0038;CRT-C-0040;CRT-C-0048,POL-GOV-01,Active,"Governance Objectives; Structure, Roles, and Responsibilities; Oversight, Review, and Reporting",,,,,,,,,,
STD-0002,Roles & Responsibilities Standard,This standard defines mandatory requirements for roles & responsibilities.,"This standard establishes minimum expectations and organisational requirements for roles & responsibilities, supporting the parent policy and mapped user controls.",CRT-C-0037;CRT-C-0040,POL-GOV-01,Active,"Governance Objectives; Structure, Roles, and Responsibilities; Oversight, Review, and Reporting",,,,,,,,,,
CRT-T,,,,,,,,,,,,,,,,,
telemetry_id,source_name,channel,signal_class,retention_days,parsing_status,linked_zones,enrichment_ready,notes,source_ref,mapped_control_ids,,,,,,,
T-0001,IdP Authentication Logs,logs,auth,365,native,corp;cloud,yes,Core identity telemetry,baseline,CRT-C-0007;CRT-C-0009;CRT-C-0011;CRT-C-0049,,,,,,,
T-0002,MFA Events,logs,auth,365,native,corp;cloud,yes,Used for anomaly detection,baseline,CRT-C-0007;CRT-C-0049;CRT-C-0032,,,,,,,
