requirement_set_id,requirement_id,requirement_ref,requirement_name,requirement_text,requirement_category,requirement_subcategory,source_ref,mapped_control_ids,rationale_summary,status,notes
REQ-NIST-80053-R5,REQ-NIST-012,CM-3,Configuration Change Control,Changes to the system are formally managed and approved.,Configuration Management,Change Control,NIST SP 800-53 Rev5 CM-3,CRT-C-0020;CRT-C-0040;CRT-C-0065,Relates to controlled change procedures and approvals.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-013,CM-6,Configuration Settings,The organization establishes and enforces configuration settings.,Configuration Management,Hardening,NIST SP 800-53 Rev5 CM-6,CRT-C-0020;CRT-C-0049;CRT-C-0065,Maps to system hardening and secure configuration.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-014,CM-7,Least Functionality,The system is configured to only provide essential capabilities.,Configuration Management,System Hardening,NIST SP 800-53 Rev5 CM-7,CRT-C-0020;CRT-C-0008;CRT-C-0065,Aligns to reducing attack surface via minimal services.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-015,CM-8,System Component Inventory,The organization develops and maintains an inventory of system components.,Configuration Management,Asset Inventory,NIST SP 800-53 Rev5 CM-8,CRT-C-0057;CRT-C-0043,Maps to asset inventory and dependency listings.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-016,CP-2,Contingency Plan,The organization develops a contingency plan for system recovery.,Contingency Planning,Continuity Planning,NIST SP 800-53 Rev5 CP-2,CRT-C-0060;CRT-C-0062;CRT-C-0018,Maps to continuity and recovery planning.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-017,CP-4,Contingency Plan Testing,The organization tests contingency plans to determine effectiveness.,Contingency Planning,Testing,NIST SP 800-53 Rev5 CP-4,CRT-C-0062;CRT-C-0060,Maps to continuity assurance testing.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-018,CP-6,Alternate Storage Site,The organization identifies alternate storage sites.,Contingency Planning,Redundancy,NIST SP 800-53 Rev5 CP-6,CRT-C-0060;CRT-C-0018,Supports resilience and data redundancy.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-019,CP-7,Alternate Processing Site,The organization identifies alternate processing sites.,Contingency Planning,Continuity Sites,NIST SP 800-53 Rev5 CP-7,CRT-C-0060;CRT-C-0018,Relates to operational continuity capabilities.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-020,CP-10,System Recovery,The organization provides for system recovery and reconstitution.,Contingency Planning,Recovery,NIST SP 800-53 Rev5 CP-10,CRT-C-0062;CRT-C-0051,Maps to backup and recovery operations.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-021,IA-2,User Identification and Authentication,The system uniquely identifies and authenticates users.,Identity & Access,Authentication,NIST SP 800-53 Rev5 IA-2,CRT-C-0007;CRT-C-0012;CRT-C-0011,Maps to identity proofing and credential use.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-022,IA-5,Authenticator Management,The organization manages authentication devices and credentials.,Identity & Access,Credential Management,NIST SP 800-53 Rev5 IA-5,CRT-C-0012;CRT-C-0007,Aligns to MFA and credential lifecycle.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-023,IA-8,Identification and Authentication (Non-Org Users),The system authenticates non-organizational users.,Identity & Access,Federation,NIST SP 800-53 Rev5 IA-8,CRT-C-0009;CRT-C-0045,Relates to third-party and federated identity controls.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-024,IA-11,Re-Authentication,Users re-authenticate under specified conditions.,Identity & Access,Session Security,NIST SP 800-53 Rev5 IA-11,CRT-C-0007;CRT-C-0012,Maps to session timeout and re-authentication.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-025,IA-12,Identity Proofing,The organization establishes identity proofing for users.,Identity & Access,Identity Vetting,NIST SP 800-53 Rev5 IA-12,CRT-C-0011,Aligns to identity vetting and onboarding.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-026,IR-2,Incident Response Training,The organization trains personnel in incident response roles.,Incident Response,Training,NIST SP 800-53 Rev5 IR-2,CRT-C-0031;CRT-C-0050,Maps to detection/response readiness controls.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-027,IR-4,Incident Handling,The organization implements an incident handling capability.,Incident Response,Handling,NIST SP 800-53 Rev5 IR-4,CRT-C-0050;CRT-C-0029,Aligns to investigation and containment controls.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-028,IR-5,Incident Monitoring,The organization tracks and documents incidents.,Incident Response,Monitoring,NIST SP 800-53 Rev5 IR-5,CRT-C-0049;CRT-C-0032,Supports incident tracking and response workflows.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-029,IR-6,Incident Reporting,The organization reports incidents to appropriate authorities.,Incident Response,Reporting,NIST SP 800-53 Rev5 IR-6,CRT-C-0042;CRT-C-0035,Maps to reporting and notification processes.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-030,IR-8,Incident Response Plan,The organization develops an incident response plan.,Incident Response,Planning,NIST SP 800-53 Rev5 IR-8,CRT-C-0050;CRT-C-0037,Aligns to IR governance and planning.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-031,MP-4,Media Transport,The organization protects digital and non-digital media during transport.,Media Protection,Transport,NIST SP 800-53 Rev5 MP-4,CRT-C-0004;CRT-C-0055,Maps to data handling and media protection.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-032,MP-5,Media Disposal,The organization sanitizes and disposes of media securely.,Media Protection,Disposal,NIST SP 800-53 Rev5 MP-5,CRT-C-0006;CRT-C-0004,Relates to secure destruction and sanitization.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-033,MP-6,Media Sanitization,Media is sanitized prior to reuse.,Media Protection,Sanitization,NIST SP 800-53 Rev5 MP-6,CRT-C-0006,Aligns with classification and sanitization controls.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-034,PE-2,Physical Access Control,The organization implements physical access controls for facilities.,Physical Security,Facility Access,NIST SP 800-53 Rev5 PE-2,CRT-C-0055;CRT-C-0059,Maps to physical protection and access oversight.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-035,PE-3,Physical Access Monitoring,Physical access is monitored for unauthorized activity.,Physical Security,Monitoring,NIST SP 800-53 Rev5 PE-3,CRT-C-0059,Relates to surveillance and access logging.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-036,PE-6,Monitoring Physical Access,Visitors and maintenance personnel are monitored while inside facilities.,Physical Security,Visitor Oversight,NIST SP 800-53 Rev5 PE-6,CRT-C-0055;CRT-C-0059,Supports visitor tracking and oversight.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-037,PE-8,Emergency Lighting,Emergency lighting is provided for essential operations.,Physical Security,Resilience,NIST SP 800-53 Rev5 PE-8,CRT-C-0058;CRT-C-0018,Supports continuity and resilience.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-038,PE-10,Emergency Shutoff,The system provides emergency shutoff capability.,Physical Security,Safety,NIST SP 800-53 Rev5 PE-10,CRT-C-0018;CRT-C-0058,Maps to facility risk controls.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-039,PL-2,System Security and Privacy Plan,The organization develops and maintains system security plans.,Planning,Governance,NIST SP 800-53 Rev5 PL-2,CRT-C-0037;CRT-C-0039,"Maps to governance, documentation, and oversight.",Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-040,PL-4,Rules of Behavior,The organization establishes rules describing responsibilities and expected behavior.,Planning,Awareness,NIST SP 800-53 Rev5 PL-4,CRT-C-0037;CRT-C-0035,Relates to user governance and expectations.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-041,PL-8,Information Security Architecture,The organization develops an information security architecture.,Planning,Architecture,NIST SP 800-53 Rev5 PL-8,CRT-C-0037;CRT-C-0018,Maps to architectural governance.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-042,RA-3,Risk Assessment,The organization conducts risk assessments to identify threats and vulnerabilities.,Risk Assessment,Assessment,NIST SP 800-53 Rev5 RA-3,CRT-C-0038;CRT-C-0032,Maps to risk identification and appraisal.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-043,RA-5,Vulnerability Monitoring,The organization scans for vulnerabilities and takes action.,Risk Assessment,Vulnerability Management,NIST SP 800-53 Rev5 RA-5,CRT-C-0051;CRT-C-0049,Maps to vulnerability detection and remediation.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-044,SA-3,System Development Life Cycle,The organization follows a defined system development life cycle.,System & Acquisition,SDLC,NIST SP 800-53 Rev5 SA-3,CRT-C-0020,Maps to secure development practices.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-045,SA-4,Acquisition Processes,Security requirements are incorporated into system acquisitions.,System & Acquisition,Acquisition,NIST SP 800-53 Rev5 SA-4,CRT-C-0025;CRT-C-0026,Supports secure procurement.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-046,SA-11,Developer Testing,Developers test systems for security flaws.,System & Acquisition,Testing,NIST SP 800-53 Rev5 SA-11,CRT-C-0020;CRT-C-0023,Maps to secure testing and defect remediation.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-047,SC-7,Boundary Protection,The system monitors and controls communications at its external boundary.,System & Communications,Network Security,NIST SP 800-53 Rev5 SC-7,CRT-C-0014;CRT-C-0016;CRT-C-0019;CRT-C-0023;CRT-C-0049,Aligns with perimeter and network management.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-048,SC-12,Cryptographic Key Establishment,The system uses approved cryptographic key management.,System & Communications,Cryptography,NIST SP 800-53 Rev5 SC-12,CRT-C-0002;CRT-C-0003,Supports encryption and key management controls.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-049,SC-28,Protection of Information at Rest,The system protects the confidentiality and integrity of information at rest.,System & Communications,Data Protection,NIST SP 800-53 Rev5 SC-28,CRT-C-0002;CRT-C-0062,Maps to encryption and data protection.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-050,SI-2,Flaw Remediation,"The organization identifies, reports, and corrects system flaws.",System Integrity,Patching,NIST SP 800-53 Rev5 SI-2,CRT-C-0051;CRT-C-0049,Aligns to vulnerability remediation and patching controls.,Active,Public domain.
